都道府県,市町村名,役所名,lon,lat
青森県,大間町,大間町役場,140.907438,41.526765
青森県,野辺地町,野辺地町役場,141.128685,40.864447
青森県,七戸町,七戸町役場,141.157991,40.744714
青森県,六戸町,六戸町役場,141.324958,40.609526
青森県,横浜町,横浜町役場,141.247782,41.083155
青森県,田舎館村,田舎館村役場,140.550198,40.631259
青森県,板柳町,板柳町役場,140.457414,40.695896
青森県,鶴田町,鶴田町役場,140.428702,40.758819
青森県,中泊町,中泊町役場,140.439831,40.965181
青森県,深浦町,深浦町役場,139.927431,40.647876
青森県,西目屋村,西目屋村役場,140.296285,40.57684
青森県,藤崎町,藤崎町役場,140.502824,40.656064
青森県,大鰐町,大鰐町役場,140.567878,40.518356
岩手県,花巻市,花巻市役所,141.116854,39.388609
岩手県,北上市,北上市役所,141.113157,39.286817
岩手県,久慈市,久慈市役所,141.775644,40.190466
岩手県,遠野市,遠野市役所,141.533538,39.327657
青森県,新郷村,新郷村役場,141.1734,40.465784
岩手県,盛岡市,盛岡市役所,141.154183,39.701795
岩手県,宮古市,宮古市役所,141.957095,39.641456
岩手県,大船渡市,大船渡市役所,141.708547,39.081901
青森県,五戸町,五戸町役場,141.307813,40.531208
青森県,田子町,田子町役場,141.15215,40.34003
青森県,南部町,南部町役場,141.381912,40.4668
青森県,階上町,階上町役場,141.621001,40.452454
青森県,東通村,東通村役場,141.3289,41.277726
青森県,風間浦村,風間浦村役場,140.995534,41.487487
青森県,佐井村,佐井村役場,140.859175,41.429718
青森県,三戸町,三戸町役場,141.25874,40.378423
岩手県,西和賀町,西和賀町役場,140.778754,39.317906
岩手県,金ケ崎町,金ケ崎町役場,141.116408,39.195687
岩手県,平泉町,平泉町役場,141.11398,38.986781
岩手県,住田町,住田町役場,141.576053,39.141905
岩手県,葛巻町,葛巻町役場,141.436719,40.03984
岩手県,岩手町,岩手町役場,141.212166,39.972768
岩手県,紫波町,紫波町役場,141.167821,39.554854
岩手県,矢巾町,矢巾町役場,141.143001,39.606006
岩手県,八幡平市,八幡平市役所,141.07112,39.956511
岩手県,奥州市,奥州市役所,141.139116,39.144506
岩手県,滝沢市,滝沢市役所,141.077065,39.734739
岩手県,雫石町,雫石町役場,140.975779,39.696319
岩手県,一関市,一関市役所,141.126759,38.934754
岩手県,陸前高田市,陸前高田市役所,141.625418,39.027942
岩手県,釜石市,釜石市役所,141.885716,39.27581
岩手県,二戸市,二戸市役所,141.304805,40.271193
北海道,札幌市,札幌市役所,141.354374,43.061972
北海道,石狩振興局,石狩振興局,141.345785,43.064722
北海道,新篠津村,新篠津村役場,141.649247,43.225368
北海道,当別町,当別町役場,141.5170027,43.22363701
北海道,江別市,江別市役所,141.536103,43.103666
